Date,Weekly U.S. Commercial Crude Oil Imports Excluding SPR  (Thousand Barrels per Day)
6-Apr-07,9804
13-Apr-07,9919
20-Apr-07,10035
27-Apr-07,10264
4-May-07,10991
11-May-07,10332
18-May-07,10892
25-May-07,10018
1-Jun-07,10240
8-Jun-07,10141
15-Jun-07,10791
22-Jun-07,10501
29-Jun-07,10778
6-Jul-07,10025
13-Jul-07,10375
20-Jul-07,10378
27-Jul-07,10165
3-Aug-07,9998
10-Aug-07,9873
17-Aug-07,10815
24-Aug-07,9822
31-Aug-07,10237
7-Sep-07,9563
14-Sep-07,9805
21-Sep-07,10442
28-Sep-07,10253
5-Oct-07,9869
12-Oct-07,10408
19-Oct-07,9103
26-Oct-07,9381
2-Nov-07,9656
9-Nov-07,10487
16-Nov-07,9820
23-Nov-07,10354
30-Nov-07,9374
7-Dec-07,10063
14-Dec-07,9111
21-Dec-07,9805
28-Dec-07,10009
4-Jan-08,9806
11-Jan-08,10389
18-Jan-08,10156
25-Jan-08,10056
1-Feb-08,10514
8-Feb-08,9737
15-Feb-08,10102
22-Feb-08,9958
29-Feb-08,9437
7-Mar-08,10548
14-Mar-08,9468
21-Mar-08,8898
28-Mar-08,10283
4-Apr-08,8912
11-Apr-08,8879
18-Apr-08,10041
25-Apr-08,10215
2-May-08,10628
9-May-08,9933
16-May-08,9237
23-May-08,8959
30-May-08,9786
6-Jun-08,9688
13-Jun-08,10259
20-Jun-08,10251
27-Jun-08,10168
4-Jul-08,9547
11-Jul-08,10791
18-Jul-08,9806
25-Jul-08,10005
1-Aug-08,10193
8-Aug-08,9655
15-Aug-08,10991
22-Aug-08,9979
29-Aug-08,9830
5-Sep-08,8581
12-Sep-08,8510
19-Sep-08,7143
26-Sep-08,8989
3-Oct-08,10346
10-Oct-08,10161
17-Oct-08,10400
24-Oct-08,10337
31-Oct-08,9972
7-Nov-08,9503
14-Nov-08,9871
21-Nov-08,10959
28-Nov-08,9504
5-Dec-08,9959
12-Dec-08,9673
19-Dec-08,9118
26-Dec-08,9249
2-Jan-09,10485
9-Jan-09,9729
16-Jan-09,9866
23-Jan-09,9708
30-Jan-09,10037
6-Feb-09,9652
13-Feb-09,8793
20-Feb-09,8769
27-Feb-09,9028
6-Mar-09,9121
13-Mar-09,9180
20-Mar-09,9384
27-Mar-09,9554
3-Apr-09,9332
10-Apr-09,9391
17-Apr-09,9855
24-Apr-09,9824
1-May-09,9920
8-May-09,8708
15-May-09,8791
22-May-09,8778
29-May-09,9646
5-Jun-09,8970
12-Jun-09,9037
19-Jun-09,9284
26-Jun-09,9363
3-Jul-09,9224
10-Jul-09,9549
17-Jul-09,9203
24-Jul-09,10024
31-Jul-09,9287
7-Aug-09,9530
14-Aug-09,8113
21-Aug-09,9225
28-Aug-09,9576
4-Sep-09,9095
11-Sep-09,8903
18-Sep-09,9794
25-Sep-09,9533
2-Oct-09,9098
9-Oct-09,8731
16-Oct-09,8699
23-Oct-09,8890
30-Oct-09,8126
6-Nov-09,8656
13-Nov-09,8579
20-Nov-09,8950
27-Nov-09,8401
4-Dec-09,8137
11-Dec-09,7772
18-Dec-09,7707
25-Dec-09,8027
1-Jan-10,8355
8-Jan-10,8895
15-Jan-10,8540
22-Jan-10,7867
29-Jan-10,8426
5-Feb-10,8342
12-Feb-10,8548
19-Feb-10,9084
26-Feb-10,9236
5-Mar-10,8492
12-Mar-10,8428
19-Mar-10,9397
26-Mar-10,9060
2-Apr-10,9561
9-Apr-10,8880
16-Apr-10,9613
23-Apr-10,9681
30-Apr-10,9951
7-May-10,9687
14-May-10,9829
21-May-10,9928
28-May-10,9455
4-Jun-10,9535
11-Jun-10,9699
18-Jun-10,10112
25-Jun-10,9481
2-Jul-10,9413
9-Jul-10,9281
16-Jul-10,9977
23-Jul-10,11153
30-Jul-10,9629
6-Aug-10,9441
13-Aug-10,9561
20-Aug-10,9881
27-Aug-10,9679
3-Sep-10,8885
10-Sep-10,9027
17-Sep-10,9322
24-Sep-10,9005
1-Oct-10,8926
8-Oct-10,8128
15-Oct-10,8600
22-Oct-10,9463
29-Oct-10,8578
5-Nov-10,8089
12-Nov-10,7864
19-Nov-10,9024
26-Nov-10,8446
3-Dec-10,9053
10-Dec-10,7690
17-Dec-10,8741
24-Dec-10,8813
31-Dec-10,8446
7-Jan-11,8895
14-Jan-11,8999
21-Jan-11,9385
28-Jan-11,9014
4-Feb-11,8909
11-Feb-11,8266
18-Feb-11,8106
25-Feb-11,8010
4-Mar-11,8300
11-Mar-11,8681
18-Mar-11,8987
25-Mar-11,9128
1-Apr-11,8950
8-Apr-11,8571
15-Apr-11,8053
22-Apr-11,9266
29-Apr-11,8877
6-May-11,8964
13-May-11,8570
20-May-11,9232
27-May-11,9518
3-Jun-11,8600
10-Jun-11,8638
17-Jun-11,9149
24-Jun-11,8878
1-Jul-11,9854
8-Jul-11,9000
15-Jul-11,9343
22-Jul-11,9840
29-Jul-11,9134
5-Aug-11,9100
12-Aug-11,9285
19-Aug-11,8808
26-Aug-11,9607
2-Sep-11,8537
9-Sep-11,8542
16-Sep-11,8351
23-Sep-11,9702
30-Sep-11,8700
7-Oct-11,9086
14-Oct-11,7921
21-Oct-11,9373
28-Oct-11,8954
4-Nov-11,8618
11-Nov-11,8565
18-Nov-11,8319
25-Nov-11,9061
2-Dec-11,9436
9-Dec-11,8322
16-Dec-11,7581
23-Dec-11,8990
30-Dec-11,9024
6-Jan-12,9907
13-Jan-12,8265
20-Jan-12,8853
27-Jan-12,8880
3-Feb-12,8413
10-Feb-12,8756
17-Feb-12,9091
24-Feb-12,9187
2-Mar-12,8712
9-Mar-12,8716
16-Mar-12,8224
23-Mar-12,9269
30-Mar-12,9774
6-Apr-12,8522
13-Apr-12,8718
20-Apr-12,8766
27-Apr-12,8822
4-May-12,8967
11-May-12,8881
18-May-12,8583
25-May-12,9056
1-Jun-12,8957
8-Jun-12,9117
15-Jun-12,9445
22-Jun-12,9118
29-Jun-12,8774
6-Jul-12,8626
13-Jul-12,8937
20-Jul-12,9633
27-Jul-12,8406
3-Aug-12,8627
10-Aug-12,8717
17-Aug-12,8207
24-Aug-12,9495
31-Aug-12,8035
7-Sep-12,8565
14-Sep-12,9848
21-Sep-12,7595
28-Sep-12,8106
5-Oct-12,8221
12-Oct-12,8347
19-Oct-12,8823
26-Oct-12,7922
2-Nov-12,8011
9-Nov-12,7870
16-Nov-12,7768
23-Nov-12,8118
30-Nov-12,8230
7-Dec-12,8499
14-Dec-12,8399
21-Dec-12,8025
28-Dec-12,7094
4-Jan-13,8342
11-Jan-13,8030
18-Jan-13,7730
25-Jan-13,8068
1-Feb-13,7569
8-Feb-13,7513
15-Feb-13,7689
22-Feb-13,7958
1-Mar-13,7308
8-Mar-13,7535
15-Mar-13,7317
22-Mar-13,8158
29-Mar-13,7931
5-Apr-13,7720
12-Apr-13,7431
19-Apr-13,7564
26-Apr-13,8166
3-May-13,7606
10-May-13,7623
17-May-13,8130
24-May-13,7817
31-May-13,7268
7-Jun-13,7850
14-Jun-13,8436
21-Jun-13,8298
28-Jun-13,7407
5-Jul-13,7525
12-Jul-13,7705
19-Jul-13,8032
26-Jul-13,8168
2-Aug-13,7914
9-Aug-13,7917
16-Aug-13,7951
23-Aug-13,8374
30-Aug-13,8255
6-Sep-13,8017
13-Sep-13,7578
20-Sep-13,7925
27-Sep-13,8363
4-Oct-13,8043
11-Oct-13,8004
18-Oct-13,7656
25-Oct-13,7459
1-Nov-13,7224
8-Nov-13,7844
15-Nov-13,7863
22-Nov-13,7718
29-Nov-13,7809
6-Dec-13,6862
13-Dec-13,7732
20-Dec-13,7535
27-Dec-13,7495
3-Jan-14,7961
10-Jan-14,6889
17-Jan-14,7544
24-Jan-14,8048
31-Jan-14,6887
7-Feb-14,7929
14-Feb-14,7421
21-Feb-14,7037
28-Feb-14,7112
7-Mar-14,7311
14-Mar-14,7309
21-Mar-14,7617
28-Mar-14,6831
4-Apr-14,7312
11-Apr-14,8271
18-Apr-14,7796
25-Apr-14,7483
2-May-14,6885
9-May-14,7127
16-May-14,6469
23-May-14,7809
30-May-14,7123
6-Jun-14,7146
13-Jun-14,7234
20-Jun-14,7341
27-Jun-14,7265
4-Jul-14,7285
11-Jul-14,7427
18-Jul-14,7407
25-Jul-14,7744
1-Aug-14,7563
8-Aug-14,7846
15-Aug-14,7459
22-Aug-14,7633
29-Aug-14,7675
5-Sep-14,7621
12-Sep-14,8114
19-Sep-14,6870
26-Sep-14,7284
3-Oct-14,7712
10-Oct-14,7740
17-Oct-14,7477
24-Oct-14,7101
31-Oct-14,6675
7-Nov-14,6877
14-Nov-14,7638
21-Nov-14,7473
28-Nov-14,7303
5-Dec-14,7668
12-Dec-14,7104
19-Dec-14,8292
26-Dec-14,7061
2-Jan-15,6856
9-Jan-15,7492
16-Jan-15,7218
23-Jan-15,7422
30-Jan-15,7387
6-Feb-15,7286
13-Feb-15,7105
20-Feb-15,7279
27-Feb-15,7368
6-Mar-15,6793
13-Mar-15,7496
20-Mar-15,7392
27-Mar-15,7348
3-Apr-15,8217
10-Apr-15,7148
17-Apr-15,7765
24-Apr-15,7446
1-May-15,6541
8-May-15,6881
15-May-15,7199
22-May-15,6696
29-May-15,7373
5-Jun-15,6623
12-Jun-15,7067
19-Jun-15,6765
26-Jun-15,7513
3-Jul-15,7316
10-Jul-15,7354
17-Jul-15,7941
24-Jul-15,7545
31-Jul-15,7180
7-Aug-15,7573
14-Aug-15,8038
21-Aug-15,7199
28-Aug-15,7855
4-Sep-15,7459
11-Sep-15,7189
18-Sep-15,7176
25-Sep-15,7554
2-Oct-15,7068
9-Oct-15,7315
16-Oct-15,7471
23-Oct-15,7032
30-Oct-15,6943
6-Nov-15,7377
13-Nov-15,6968
20-Nov-15,7333
27-Nov-15,7747
4-Dec-15,8021
11-Dec-15,8312
18-Dec-15,7326
25-Dec-15,7892
1-Jan-16,7510
8-Jan-16,8188
15-Jan-16,7779
22-Jan-16,7609
29-Jan-16,8256
5-Feb-16,7124
12-Feb-16,7919
19-Feb-16,7802
26-Feb-16,8292
4-Mar-16,8048
11-Mar-16,7693
18-Mar-16,8384
25-Mar-16,7748
1-Apr-16,7254
8-Apr-16,7940
15-Apr-16,8187
22-Apr-16,7550
29-Apr-16,7660
6-May-16,7655
13-May-16,7677
20-May-16,7315
27-May-16,7839
3-Jun-16,7705
10-Jun-16,7622
17-Jun-16,8439
24-Jun-16,7555
1-Jul-16,8363
8-Jul-16,7841
15-Jul-16,8134
22-Jul-16,8437
29-Jul-16,8738
5-Aug-16,8404
12-Aug-16,8193
19-Aug-16,8642
26-Aug-16,8917
2-Sep-16,7069
9-Sep-16,8062
16-Sep-16,8309
23-Sep-16,7835
30-Sep-16,7710
7-Oct-16,7861
14-Oct-16,6907
21-Oct-16,7016
28-Oct-16,8995
4-Nov-16,7442
11-Nov-16,8423
18-Nov-16,7578
25-Nov-16,7548
2-Dec-16,8303
9-Dec-16,7360
16-Dec-16,8471
23-Dec-16,8167
30-Dec-16,7183
6-Jan-17,9052
13-Jan-17,8378
20-Jan-17,7810
27-Jan-17,8290
3-Feb-17,9372
10-Feb-17,8491
17-Feb-17,7286
24-Feb-17,7589
3-Mar-17,8150
10-Mar-17,7405
17-Mar-17,8307
24-Mar-17,8224
31-Mar-17,7850
7-Apr-17,7878
14-Apr-17,7810
21-Apr-17,8912
28-Apr-17,8264
5-May-17,7620
12-May-17,8590
19-May-17,8294
26-May-17,7985
2-Jun-17,8341
9-Jun-17,8025
16-Jun-17,7876
23-Jun-17,8016
30-Jun-17,7742
7-Jul-17,7610
14-Jul-17,7996
21-Jul-17,8044
28-Jul-17,8253
4-Aug-17,7762
11-Aug-17,8126
18-Aug-17,8790
25-Aug-17,7905
1-Sep-17,7083
8-Sep-17,6480
15-Sep-17,7368
22-Sep-17,7427
29-Sep-17,7214
6-Oct-17,7617
13-Oct-17,7483
20-Oct-17,8123
27-Oct-17,7571
3-Nov-17,7377
10-Nov-17,7898
17-Nov-17,7873
24-Nov-17,7329
1-Dec-17,7202
8-Dec-17,7363
15-Dec-17,7834
22-Dec-17,7993
29-Dec-17,7966
5-Jan-18,7658
12-Jan-18,7950
19-Jan-18,8041
26-Jan-18,8430
2-Feb-18,7892
9-Feb-18,7888
16-Feb-18,7021
23-Feb-18,7282
2-Mar-18,8003
9-Mar-18,7585
16-Mar-18,7077
23-Mar-18,8148
30-Mar-18,7898
6-Apr-18,8650
13-Apr-18,7930
20-Apr-18,8469
27-Apr-18,8549
4-May-18,7323
11-May-18,7601
18-May-18,8159
25-May-18,7631
1-Jun-18,8346
8-Jun-18,8099
15-Jun-18,8242
22-Jun-18,8356
29-Jun-18,9055
6-Jul-18,7431
13-Jul-18,9066
20-Jul-18,7770
27-Jul-18,7749
3-Aug-18,7931
10-Aug-18,9014
17-Aug-18,7518
24-Aug-18,7485
31-Aug-18,7714
7-Sep-18,7591
14-Sep-18,8024
21-Sep-18,7802
28-Sep-18,7965
5-Oct-18,7397
12-Oct-18,7615
19-Oct-18,7678
26-Oct-18,7344
2-Nov-18,7539
9-Nov-18,7452
16-Nov-18,7554
23-Nov-18,8162
30-Nov-18,7219
