Date,Weekly U.S. Commercial Crude Oil Imports Excluding SPR  (Thousand Barrels per Day)
18-Nov-88,4468
25-Nov-88,5029
2-Dec-88,5308
9-Dec-88,6156
16-Dec-88,4884
23-Dec-88,4615
30-Dec-88,5611
6-Jan-89,4899
13-Jan-89,5316
20-Jan-89,5985
27-Jan-89,5606
3-Feb-89,5397
10-Feb-89,5226
17-Feb-89,4528
24-Feb-89,4738
3-Mar-89,6402
10-Mar-89,4728
17-Mar-89,5321
24-Mar-89,5134
31-Mar-89,4664
7-Apr-89,5772
14-Apr-89,6101
21-Apr-89,5347
28-Apr-89,5836
5-May-89,6086
12-May-89,5832
19-May-89,5528
26-May-89,5370
2-Jun-89,6437
9-Jun-89,6104
16-Jun-89,6180
23-Jun-89,5646
30-Jun-89,5465
7-Jul-89,6301
14-Jul-89,6909
21-Jul-89,6697
28-Jul-89,6660
4-Aug-89,5302
11-Aug-89,6697
18-Aug-89,7259
25-Aug-89,6381
1-Sep-89,6784
8-Sep-89,6491
15-Sep-89,6336
22-Sep-89,5826
29-Sep-89,6709
6-Oct-89,5946
13-Oct-89,6466
20-Oct-89,5557
27-Oct-89,6779
3-Nov-89,6420
10-Nov-89,6155
17-Nov-89,6191
24-Nov-89,5942
1-Dec-89,6053
8-Dec-89,6137
15-Dec-89,5894
22-Dec-89,6423
29-Dec-89,5763
5-Jan-90,5654
12-Jan-90,6591
19-Jan-90,6463
26-Jan-90,6144
2-Feb-90,6708
9-Feb-90,5488
16-Feb-90,5479
23-Feb-90,5968
2-Mar-90,6107
9-Mar-90,6235
16-Mar-90,6129
23-Mar-90,6315
30-Mar-90,6021
6-Apr-90,6247
13-Apr-90,6056
20-Apr-90,5715
27-Apr-90,6649
4-May-90,6177
11-May-90,6136
18-May-90,5925
25-May-90,6704
1-Jun-90,6407
8-Jun-90,6181
15-Jun-90,7484
22-Jun-90,7594
29-Jun-90,5862
6-Jul-90,6309
13-Jul-90,7067
20-Jul-90,7341
27-Jul-90,7312
3-Aug-90,6705
10-Aug-90,5828
17-Aug-90,7143
24-Aug-90,6565
31-Aug-90,6896
7-Sep-90,6838
14-Sep-90,5809
21-Sep-90,6214
28-Sep-90,5254
5-Oct-90,5161
12-Oct-90,5170
19-Oct-90,4855
26-Oct-90,5129
2-Nov-90,4917
9-Nov-90,4419
16-Nov-90,5637
23-Nov-90,5610
30-Nov-90,4532
7-Dec-90,5007
14-Dec-90,5236
21-Dec-90,5445
28-Dec-90,4468
4-Jan-91,5536
11-Jan-91,4866
18-Jan-91,5053
25-Jan-91,5122
1-Feb-91,6212
8-Feb-91,5542
15-Feb-91,5527
22-Feb-91,4934
1-Mar-91,4983
8-Mar-91,5430
15-Mar-91,4912
22-Mar-91,5388
29-Mar-91,5279
5-Apr-91,5454
12-Apr-91,6290
19-Apr-91,4663
26-Apr-91,5418
3-May-91,5294
10-May-91,6471
17-May-91,5895
24-May-91,6177
31-May-91,6633
7-Jun-91,6958
14-Jun-91,6093
21-Jun-91,5937
28-Jun-91,7128
5-Jul-91,4904
12-Jul-91,5984
19-Jul-91,6589
26-Jul-91,5773
2-Aug-91,5780
9-Aug-91,6690
16-Aug-91,7270
23-Aug-91,6431
30-Aug-91,6143
6-Sep-91,6513
13-Sep-91,5818
20-Sep-91,6676
27-Sep-91,6521
4-Oct-91,4814
11-Oct-91,5587
18-Oct-91,5849
25-Oct-91,5785
1-Nov-91,5025
8-Nov-91,5877
15-Nov-91,5983
22-Nov-91,5927
29-Nov-91,4403
6-Dec-91,6738
13-Dec-91,6094
20-Dec-91,5403
27-Dec-91,5614
3-Jan-92,4437
10-Jan-92,6778
17-Jan-92,5962
24-Jan-92,5252
31-Jan-92,5819
7-Feb-92,4308
14-Feb-92,6287
21-Feb-92,4278
28-Feb-92,6240
6-Mar-92,5149
13-Mar-92,5429
20-Mar-92,5625
27-Mar-92,5155
3-Apr-92,5512
10-Apr-92,6782
17-Apr-92,5999
24-Apr-92,5597
1-May-92,5546
8-May-92,6114
15-May-92,5635
22-May-92,7003
29-May-92,5685
5-Jun-92,5936
12-Jun-92,6238
19-Jun-92,6183
26-Jun-92,5238
3-Jul-92,5559
10-Jul-92,7504
17-Jul-92,6560
24-Jul-92,6708
31-Jul-92,6505
7-Aug-92,6002
14-Aug-92,7644
21-Aug-92,6227
28-Aug-92,6103
4-Sep-92,5700
11-Sep-92,6337
18-Sep-92,6639
25-Sep-92,5972
2-Oct-92,5954
9-Oct-92,6443
16-Oct-92,7944
23-Oct-92,5929
30-Oct-92,6835
6-Nov-92,6327
13-Nov-92,5633
20-Nov-92,6593
27-Nov-92,6141
4-Dec-92,6242
11-Dec-92,6681
18-Dec-92,6411
25-Dec-92,5277
1-Jan-93,5650
8-Jan-93,7060
15-Jan-93,6171
22-Jan-93,6216
29-Jan-93,6782
5-Feb-93,6419
12-Feb-93,6294
19-Feb-93,5511
26-Feb-93,6801
5-Mar-93,5636
12-Mar-93,7382
19-Mar-93,5474
26-Mar-93,6996
2-Apr-93,5512
9-Apr-93,7243
16-Apr-93,6406
23-Apr-93,6662
30-Apr-93,7518
7-May-93,6495
14-May-93,6974
21-May-93,6618
28-May-93,6651
4-Jun-93,5807
11-Jun-93,7341
18-Jun-93,7764
25-Jun-93,6658
2-Jul-93,6121
9-Jul-93,6629
16-Jul-93,8226
23-Jul-93,5510
30-Jul-93,6369
6-Aug-93,6784
13-Aug-93,6277
20-Aug-93,5974
27-Aug-93,7698
3-Sep-93,6429
10-Sep-93,6186
17-Sep-93,6324
24-Sep-93,6429
1-Oct-93,6264
8-Oct-93,6763
15-Oct-93,7513
22-Oct-93,6639
29-Oct-93,7180
5-Nov-93,5648
12-Nov-93,7942
19-Nov-93,6624
26-Nov-93,5620
3-Dec-93,7748
10-Dec-93,7249
17-Dec-93,6635
24-Dec-93,5727
31-Dec-93,6758
7-Jan-94,6598
14-Jan-94,6037
21-Jan-94,5618
28-Jan-94,5877
4-Feb-94,7067
11-Feb-94,5978
18-Feb-94,6429
25-Feb-94,5954
4-Mar-94,6095
11-Mar-94,5696
18-Mar-94,7316
25-Mar-94,5646
1-Apr-94,6731
8-Apr-94,6726
15-Apr-94,6363
22-Apr-94,7763
29-Apr-94,7303
6-May-94,7657
13-May-94,7347
20-May-94,6627
27-May-94,6674
3-Jun-94,7382
10-Jun-94,7134
17-Jun-94,8890
24-Jun-94,8027
1-Jul-94,7124
8-Jul-94,7807
15-Jul-94,8550
22-Jul-94,7183
29-Jul-94,8155
5-Aug-94,6427
12-Aug-94,8256
19-Aug-94,7549
26-Aug-94,6987
2-Sep-94,8544
9-Sep-94,7124
16-Sep-94,8414
23-Sep-94,6745
30-Sep-94,8059
7-Oct-94,7208
14-Oct-94,6961
21-Oct-94,7018
28-Oct-94,6893
4-Nov-94,6564
11-Nov-94,7601
18-Nov-94,7398
25-Nov-94,7161
2-Dec-94,6224
9-Dec-94,7030
16-Dec-94,7222
23-Dec-94,6566
30-Dec-94,7334
6-Jan-95,7136
13-Jan-95,6442
20-Jan-95,6521
27-Jan-95,6465
3-Feb-95,5795
10-Feb-95,7901
17-Feb-95,6489
24-Feb-95,5781
3-Mar-95,6104
10-Mar-95,8029
17-Mar-95,6696
24-Mar-95,6088
31-Mar-95,8135
7-Apr-95,6723
14-Apr-95,6191
21-Apr-95,8199
28-Apr-95,8139
5-May-95,5800
12-May-95,7709
19-May-95,7597
26-May-95,6871
2-Jun-95,7419
9-Jun-95,7037
16-Jun-95,9337
23-Jun-95,6503
30-Jun-95,7948
7-Jul-95,6455
14-Jul-95,7884
21-Jul-95,6733
28-Jul-95,7390
4-Aug-95,7439
11-Aug-95,8483
18-Aug-95,7781
25-Aug-95,7402
1-Sep-95,6522
8-Sep-95,8563
15-Sep-95,8227
22-Sep-95,7195
29-Sep-95,7546
6-Oct-95,6129
13-Oct-95,7416
20-Oct-95,7568
27-Oct-95,6986
3-Nov-95,6530
10-Nov-95,7695
17-Nov-95,8060
24-Nov-95,7560
1-Dec-95,7182
8-Dec-95,8066
15-Dec-95,6990
22-Dec-95,6192
29-Dec-95,6963
5-Jan-96,6926
12-Jan-96,7504
19-Jan-96,7240
26-Jan-96,6937
2-Feb-96,7002
9-Feb-96,6427
16-Feb-96,7504
23-Feb-96,5543
1-Mar-96,6235
8-Mar-96,6986
15-Mar-96,6923
22-Mar-96,6598
29-Mar-96,7396
5-Apr-96,7360
12-Apr-96,7535
19-Apr-96,7231
26-Apr-96,7852
3-May-96,7223
10-May-96,8578
17-May-96,7564
24-May-96,6865
31-May-96,8116
7-Jun-96,7524
14-Jun-96,8676
21-Jun-96,7587
28-Jun-96,8366
5-Jul-96,7860
12-Jul-96,7601
19-Jul-96,7870
26-Jul-96,7683
2-Aug-96,8143
9-Aug-96,8044
16-Aug-96,9060
23-Aug-96,7969
30-Aug-96,7304
6-Sep-96,7563
13-Sep-96,7801
20-Sep-96,7483
27-Sep-96,6280
4-Oct-96,8177
11-Oct-96,7654
18-Oct-96,8736
25-Oct-96,8468
1-Nov-96,6881
8-Nov-96,8481
15-Nov-96,6952
22-Nov-96,7150
29-Nov-96,6143
6-Dec-96,8491
13-Dec-96,7848
20-Dec-96,7150
27-Dec-96,7730
3-Jan-97,6021
10-Jan-97,7396
17-Jan-97,7417
24-Jan-97,8144
31-Jan-97,7113
7-Feb-97,8316
14-Feb-97,6905
21-Feb-97,7403
28-Feb-97,7331
7-Mar-97,7742
14-Mar-97,7753
21-Mar-97,7135
28-Mar-97,7870
4-Apr-97,8006
11-Apr-97,7782
18-Apr-97,8418
25-Apr-97,7853
2-May-97,8203
9-May-97,7796
16-May-97,7505
23-May-97,8187
30-May-97,8267
6-Jun-97,8899
13-Jun-97,9567
20-Jun-97,7213
27-Jun-97,8097
4-Jul-97,8577
11-Jul-97,7684
18-Jul-97,8375
25-Jul-97,8269
1-Aug-97,7620
8-Aug-97,8882
15-Aug-97,8828
22-Aug-97,8367
29-Aug-97,8101
5-Sep-97,7705
12-Sep-97,9311
19-Sep-97,8564
26-Sep-97,8687
3-Oct-97,9625
10-Oct-97,8221
17-Oct-97,8017
24-Oct-97,7633
31-Oct-97,7994
7-Nov-97,7529
14-Nov-97,9475
21-Nov-97,7608
28-Nov-97,8391
5-Dec-97,8007
12-Dec-97,7140
19-Dec-97,8175
26-Dec-97,6987
2-Jan-98,7241
9-Jan-98,8733
16-Jan-98,8960
23-Jan-98,8114
30-Jan-98,7448
6-Feb-98,8323
13-Feb-98,8242
20-Feb-98,6580
27-Feb-98,7170
6-Mar-98,7726
13-Mar-98,7683
20-Mar-98,8178
27-Mar-98,9213
3-Apr-98,8117
10-Apr-98,8347
17-Apr-98,10168
24-Apr-98,7978
1-May-98,8312
8-May-98,8612
15-May-98,8504
22-May-98,7959
29-May-98,8738
5-Jun-98,9806
12-Jun-98,8875
19-Jun-98,8193
26-Jun-98,10018
3-Jul-98,7704
10-Jul-98,9250
17-Jul-98,9209
24-Jul-98,9264
31-Jul-98,9369
7-Aug-98,9345
14-Aug-98,9958
21-Aug-98,8993
28-Aug-98,9379
4-Sep-98,8487
11-Sep-98,8631
18-Sep-98,7476
25-Sep-98,9114
2-Oct-98,8222
9-Oct-98,8663
16-Oct-98,8158
23-Oct-98,8176
30-Oct-98,8201
6-Nov-98,8920
13-Nov-98,7770
20-Nov-98,9501
27-Nov-98,7976
4-Dec-98,9233
11-Dec-98,9152
18-Dec-98,8794
25-Dec-98,8982
1-Jan-99,7569
8-Jan-99,8488
15-Jan-99,8944
22-Jan-99,8458
29-Jan-99,8559
5-Feb-99,8405
12-Feb-99,8255
19-Feb-99,8780
26-Feb-99,8949
5-Mar-99,8653
12-Mar-99,9044
19-Mar-99,7874
26-Mar-99,9085
2-Apr-99,8364
9-Apr-99,8630
16-Apr-99,8983
23-Apr-99,8273
30-Apr-99,8206
7-May-99,8439
14-May-99,9017
21-May-99,8638
28-May-99,9081
4-Jun-99,8406
11-Jun-99,8759
18-Jun-99,9164
25-Jun-99,7958
2-Jul-99,9248
9-Jul-99,8669
16-Jul-99,9000
23-Jul-99,9483
30-Jul-99,9228
6-Aug-99,8578
13-Aug-99,8633
20-Aug-99,9053
27-Aug-99,9138
3-Sep-99,8305
10-Sep-99,8245
17-Sep-99,8809
24-Sep-99,8474
1-Oct-99,8678
8-Oct-99,7727
15-Oct-99,8832
22-Oct-99,8115
29-Oct-99,8763
5-Nov-99,8381
12-Nov-99,8362
19-Nov-99,8227
26-Nov-99,7450
3-Dec-99,8827
10-Dec-99,7548
17-Dec-99,8147
24-Dec-99,8238
31-Dec-99,8054
7-Jan-00,8508
14-Jan-00,7396
21-Jan-00,8448
28-Jan-00,6746
4-Feb-00,8333
11-Feb-00,8198
18-Feb-00,8265
25-Feb-00,7684
3-Mar-00,8818
10-Mar-00,7953
17-Mar-00,8628
24-Mar-00,8043
31-Mar-00,9282
7-Apr-00,9205
14-Apr-00,9124
21-Apr-00,9708
28-Apr-00,8701
5-May-00,9353
12-May-00,8908
19-May-00,9341
26-May-00,8672
2-Jun-00,8660
9-Jun-00,8846
16-Jun-00,9477
23-Jun-00,9374
30-Jun-00,8939
7-Jul-00,9756
14-Jul-00,9341
21-Jul-00,9915
28-Jul-00,8784
4-Aug-00,9429
11-Aug-00,9696
18-Aug-00,9318
25-Aug-00,9296
1-Sep-00,9671
8-Sep-00,9497
15-Sep-00,9034
22-Sep-00,9464
29-Sep-00,8990
6-Oct-00,9139
13-Oct-00,8914
20-Oct-00,9631
27-Oct-00,9320
3-Nov-00,9328
10-Nov-00,8561
17-Nov-00,8711
24-Nov-00,7916
1-Dec-00,8712
8-Dec-00,8810
15-Dec-00,9445
22-Dec-00,8637
29-Dec-00,8877
5-Jan-01,9362
12-Jan-01,8508
19-Jan-01,7806
26-Jan-01,8751
2-Feb-01,9143
9-Feb-01,8988
16-Feb-01,7689
23-Feb-01,9041
2-Mar-01,8654
9-Mar-01,10212
16-Mar-01,9331
23-Mar-01,9882
30-Mar-01,9228
6-Apr-01,9480
13-Apr-01,9864
20-Apr-01,9415
27-Apr-01,10324
4-May-01,9644
11-May-01,9263
18-May-01,10241
25-May-01,8951
1-Jun-01,9846
8-Jun-01,8694
15-Jun-01,8709
22-Jun-01,9076
29-Jun-01,9573
6-Jul-01,9196
13-Jul-01,9986
20-Jul-01,9651
27-Jul-01,8893
3-Aug-01,8683
10-Aug-01,8516
17-Aug-01,8572
24-Aug-01,9400
31-Aug-01,8258
7-Sep-01,9107
14-Sep-01,8677
21-Sep-01,8778
28-Sep-01,8988
5-Oct-01,9556
12-Oct-01,8636
19-Oct-01,9361
26-Oct-01,9443
2-Nov-01,9350
9-Nov-01,9669
16-Nov-01,8759
23-Nov-01,8142
30-Nov-01,9891
7-Dec-01,9001
14-Dec-01,8807
21-Dec-01,8692
28-Dec-01,8167
4-Jan-02,8583
11-Jan-02,8517
18-Jan-02,9112
25-Jan-02,8517
1-Feb-02,8595
8-Feb-02,9136
15-Feb-02,8034
22-Feb-02,8016
1-Mar-02,8201
8-Mar-02,8160
15-Mar-02,8448
22-Mar-02,7858
29-Mar-02,9127
5-Apr-02,8849
12-Apr-02,8265
19-Apr-02,9133
26-Apr-02,9409
3-May-02,9160
10-May-02,8694
17-May-02,9101
24-May-02,8844
31-May-02,9165
7-Jun-02,8658
14-Jun-02,9218
21-Jun-02,9030
28-Jun-02,9591
5-Jul-02,8417
12-Jul-02,9163
19-Jul-02,9226
26-Jul-02,9168
2-Aug-02,8686
9-Aug-02,9193
16-Aug-02,9398
23-Aug-02,9200
30-Aug-02,9233
6-Sep-02,8339
13-Sep-02,8665
20-Sep-02,8953
27-Sep-02,8509
4-Oct-02,8191
11-Oct-02,9502
18-Oct-02,9992
25-Oct-02,9015
1-Nov-02,9099
8-Nov-02,9177
15-Nov-02,10088
22-Nov-02,8957
29-Nov-02,9503
6-Dec-02,9730
13-Dec-02,9337
20-Dec-02,9145
27-Dec-02,7631
3-Jan-03,8289
10-Jan-03,8489
17-Jan-03,8745
24-Jan-03,8678
31-Jan-03,8379
7-Feb-03,7197
14-Feb-03,8762
21-Feb-03,8325
28-Feb-03,8679
7-Mar-03,7621
14-Mar-03,8693
21-Mar-03,9655
28-Mar-03,10361
4-Apr-03,8917
11-Apr-03,9405
18-Apr-03,10614
25-Apr-03,9669
2-May-03,9856
9-May-03,9334
16-May-03,10073
23-May-03,10041
30-May-03,10521
6-Jun-03,9884
13-Jun-03,10302
20-Jun-03,9332
27-Jun-03,9466
4-Jul-03,9599
11-Jul-03,9732
18-Jul-03,9441
25-Jul-03,10084
1-Aug-03,10294
8-Aug-03,9970
15-Aug-03,9868
22-Aug-03,10246
29-Aug-03,10126
5-Sep-03,9648
12-Sep-03,10759
19-Sep-03,10299
26-Sep-03,9513
3-Oct-03,9852
10-Oct-03,10019
17-Oct-03,9513
24-Oct-03,10159
31-Oct-03,10176
7-Nov-03,9948
14-Nov-03,10354
21-Nov-03,9151
28-Nov-03,9128
5-Dec-03,9531
12-Dec-03,9140
19-Dec-03,9515
26-Dec-03,9438
2-Jan-04,9759
9-Jan-04,9214
16-Jan-04,9803
23-Jan-04,8634
30-Jan-04,10488
6-Feb-04,8447
13-Feb-04,10160
20-Feb-04,9007
27-Feb-04,9837
5-Mar-04,9788
12-Mar-04,9498
19-Mar-04,10108
26-Mar-04,10077
2-Apr-04,9757
9-Apr-04,9461
16-Apr-04,9676
23-Apr-04,10469
30-Apr-04,9791
7-May-04,9926
14-May-04,9939
21-May-04,10493
28-May-04,10703
4-Jun-04,10483
11-Jun-04,10271
18-Jun-04,10188
25-Jun-04,10591
2-Jul-04,10138
9-Jul-04,10054
16-Jul-04,9901
23-Jul-04,11324
30-Jul-04,10351
6-Aug-04,9524
13-Aug-04,10407
20-Aug-04,10549
27-Aug-04,10280
3-Sep-04,10711
10-Sep-04,9914
17-Sep-04,8426
24-Sep-04,9886
1-Oct-04,10180
8-Oct-04,10054
15-Oct-04,10097
22-Oct-04,10317
29-Oct-04,10676
5-Nov-04,10495
12-Nov-04,10229
19-Nov-04,10189
26-Nov-04,10056
3-Dec-04,10864
10-Dec-04,10366
17-Dec-04,10545
24-Dec-04,9863
31-Dec-04,9775
7-Jan-05,9973
14-Jan-05,10120
21-Jan-05,10458
28-Jan-05,9886
4-Feb-05,9914
11-Feb-05,10434
18-Feb-05,9643
25-Feb-05,10065
4-Mar-05,10099
11-Mar-05,10041
18-Mar-05,10270
25-Mar-05,10568
1-Apr-05,9890
8-Apr-05,9863
15-Apr-05,9718
22-Apr-05,10863
29-Apr-05,10259
6-May-05,9992
13-May-05,10859
20-May-05,10311
27-May-05,10698
3-Jun-05,10220
10-Jun-05,10617
17-Jun-05,10177
24-Jun-05,10971
1-Jul-05,10219
8-Jul-05,9954
15-Jul-05,10825
22-Jul-05,9940
29-Jul-05,10956
5-Aug-05,11057
12-Aug-05,10305
19-Aug-05,10577
26-Aug-05,10463
2-Sep-05,9531
9-Sep-05,9128
16-Sep-05,9832
23-Sep-05,9693
30-Sep-05,8119
7-Oct-05,8619
14-Oct-05,9207
21-Oct-05,9957
28-Oct-05,10060
4-Nov-05,10584
11-Nov-05,9700
18-Nov-05,10219
25-Nov-05,9693
2-Dec-05,10579
9-Dec-05,10429
16-Dec-05,9859
23-Dec-05,10189
30-Dec-05,10058
6-Jan-06,9870
13-Jan-06,9846
20-Jan-06,9257
27-Jan-06,9596
3-Feb-06,9860
10-Feb-06,10264
17-Feb-06,9959
24-Feb-06,9878
3-Mar-06,10145
10-Mar-06,9940
17-Mar-06,9331
24-Mar-06,10100
31-Mar-06,9953
7-Apr-06,9539
14-Apr-06,9665
21-Apr-06,9864
28-Apr-06,9811
5-May-06,10007
12-May-06,10383
19-May-06,9557
26-May-06,10842
2-Jun-06,10881
9-Jun-06,10547
16-Jun-06,10994
23-Jun-06,10546
30-Jun-06,10539
7-Jul-06,9619
14-Jul-06,10701
21-Jul-06,10507
28-Jul-06,10431
4-Aug-06,10165
11-Aug-06,10022
18-Aug-06,10197
25-Aug-06,11153
1-Sep-06,10365
8-Sep-06,10597
15-Sep-06,10592
