Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,1.604167,1.619792,1.588542,1.604167,0.141827,163200
1962-01-03,1.604167,1.619792,1.588542,1.619792,0.143209,156000
1962-01-04,1.656250,1.708333,1.656250,1.661458,0.146893,355200
1962-01-05,1.661458,1.697917,1.656250,1.677083,0.148274,163200
1962-01-08,1.677083,1.703125,1.666667,1.687500,0.149195,204000
1962-01-09,1.687500,1.718750,1.671875,1.703125,0.150576,290400
1962-01-10,1.703125,1.713542,1.677083,1.682292,0.148734,182400
1962-01-11,1.682292,1.708333,1.666667,1.708333,0.151037,384000
1962-01-12,1.708333,1.739583,1.687500,1.718750,0.151958,352800
1962-01-15,1.718750,1.729167,1.687500,1.713542,0.151497,280800
1962-01-16,1.697917,1.697917,1.677083,1.687500,0.150108,163200
1962-01-17,1.687500,1.708333,1.677083,1.682292,0.149644,160800
1962-01-18,1.682292,1.718750,1.682292,1.718750,0.152888,261600
1962-01-19,1.718750,1.750000,1.687500,1.750000,0.155667,357600
1962-01-22,1.750000,1.770833,1.744792,1.744792,0.155204,261600
1962-01-23,1.744792,1.760417,1.708333,1.708333,0.151961,223200
1962-01-24,1.708333,1.708333,1.666667,1.697917,0.151034,120000
1962-01-25,1.697917,1.723958,1.692708,1.708333,0.151961,151200
1962-01-26,1.708333,1.723958,1.687500,1.708333,0.151961,108000
1962-01-29,1.708333,1.723958,1.703125,1.723958,0.153351,122400
1962-01-30,1.718750,1.718750,1.692708,1.697917,0.151034,120000
1962-01-31,1.697917,1.723958,1.697917,1.708333,0.151961,189600
1962-02-01,1.708333,1.750000,1.708333,1.739583,0.154741,112800
1962-02-02,1.739583,1.744792,1.723958,1.729167,0.153814,199200
1962-02-05,1.729167,1.734375,1.723958,1.723958,0.153351,96000
1962-02-06,1.729167,1.744792,1.729167,1.734375,0.154277,105600
1962-02-07,1.734375,1.744792,1.713542,1.713542,0.152424,122400
1962-02-08,1.713542,1.718750,1.713542,1.713542,0.152424,141600
1962-02-09,1.713542,1.718750,1.692708,1.692708,0.150571,115200
1962-02-12,1.692708,1.697917,1.671875,1.697917,0.151034,98400
1962-02-13,1.697917,1.703125,1.682292,1.692708,0.150571,86400
1962-02-14,1.692708,1.692708,1.666667,1.677083,0.149181,177600
1962-02-15,1.671875,1.671875,1.645833,1.666667,0.148254,60000
1962-02-16,1.666667,1.687500,1.635417,1.677083,0.149181,88800
1962-02-19,1.677083,1.692708,1.661458,1.677083,0.149181,170400
1962-02-20,1.677083,1.682292,1.666667,1.671875,0.148718,67200
1962-02-21,1.671875,1.671875,1.625000,1.635417,0.145475,98400
1962-02-23,1.635417,1.656250,1.625000,1.635417,0.145475,96000
1962-02-26,1.666667,1.697917,1.666667,1.697917,0.151034,158400
1962-02-27,1.697917,1.708333,1.677083,1.682292,0.149644,117600
1962-02-28,1.682292,1.703125,1.666667,1.682292,0.149644,139200
1962-03-01,1.682292,1.703125,1.682292,1.682292,0.149644,74400
1962-03-02,1.682292,1.687500,1.666667,1.687500,0.150108,105600
1962-03-05,1.687500,1.692708,1.666667,1.687500,0.150108,79200
1962-03-06,1.687500,1.703125,1.666667,1.677083,0.149181,98400
1962-03-07,1.677083,1.677083,1.645833,1.656250,0.147328,172800
1962-03-08,1.656250,1.661458,1.635417,1.640625,0.145938,98400
1962-03-09,1.640625,1.645833,1.635417,1.635417,0.145475,86400
1962-03-12,1.635417,1.640625,1.614583,1.614583,0.143622,96000
1962-03-13,1.614583,1.635417,1.588542,1.625000,0.144548,141600
1962-03-14,1.630208,1.661458,1.630208,1.661458,0.147791,117600
1962-03-15,1.661458,1.661458,1.635417,1.645833,0.146401,139200
1962-03-16,1.645833,1.661458,1.645833,1.661458,0.147791,79200
1962-03-19,1.661458,1.682292,1.651042,1.661458,0.147791,105600
1962-03-20,1.666667,1.697917,1.666667,1.697917,0.151034,177600
1962-03-21,1.697917,1.703125,1.645833,1.656250,0.147328,232800
1962-03-22,1.666667,1.692708,1.666667,1.682292,0.149644,268800
1962-03-23,1.682292,1.697917,1.671875,1.682292,0.149644,189600
1962-03-26,1.682292,1.687500,1.656250,1.671875,0.148718,124800
1962-03-27,1.671875,1.677083,1.666667,1.671875,0.148718,112800
1962-03-28,1.671875,1.703125,1.671875,1.703125,0.151498,146400
1962-03-29,1.703125,1.703125,1.677083,1.682292,0.149644,91200
1962-03-30,1.682292,1.703125,1.677083,1.703125,0.151498,86400
1962-04-02,1.697917,1.697917,1.661458,1.671875,0.148718,230400
1962-04-03,1.671875,1.692708,1.661458,1.666667,0.148254,168000
1962-04-04,1.666667,1.682292,1.661458,1.671875,0.148718,115200
1962-04-05,1.671875,1.687500,1.666667,1.687500,0.150108,192000
1962-04-06,1.682292,1.682292,1.661458,1.682292,0.149644,148800
1962-04-09,1.682292,1.682292,1.661458,1.661458,0.147791,124800
1962-04-10,1.661458,1.677083,1.651042,1.677083,0.149181,120000
1962-04-11,1.677083,1.692708,1.656250,1.671875,0.148718,182400
1962-04-12,1.661458,1.661458,1.635417,1.656250,0.147328,158400
1962-04-13,1.651042,1.651042,1.614583,1.614583,0.143622,38400
1962-04-16,1.609375,1.609375,1.552083,1.572917,0.140824,129600
1962-04-17,1.578125,1.619792,1.578125,1.593750,0.142689,172800
1962-04-18,1.593750,1.614583,1.583333,1.604167,0.143622,132000
1962-04-19,1.604167,1.625000,1.604167,1.604167,0.143622,81600
1962-04-23,1.598958,1.598958,1.541667,1.546875,0.138493,136800
1962-04-24,1.552083,1.572917,1.552083,1.572917,0.140824,103200
1962-04-25,1.562500,1.562500,1.531250,1.531250,0.137094,120000
1962-04-26,1.536458,1.578125,1.536458,1.552083,0.138959,163200
1962-04-27,1.552083,1.557292,1.520833,1.541667,0.138026,182400
1962-04-30,1.541667,1.541667,1.468750,1.479167,0.132431,187200
1962-05-01,1.479167,1.494792,1.427083,1.489583,0.133363,228000
1962-05-02,1.489583,1.515625,1.489583,1.500000,0.134296,139200
1962-05-03,1.500000,1.567708,1.494792,1.567708,0.140358,79200
1962-05-04,1.567708,1.583333,1.552083,1.552083,0.138959,76800
1962-05-07,1.552083,1.562500,1.541667,1.552083,0.138959,182400
1962-05-08,1.552083,1.572917,1.546875,1.552083,0.138959,129600
1962-05-09,1.552083,1.562500,1.500000,1.541667,0.138026,96000
1962-05-10,1.536458,1.536458,1.468750,1.473958,0.131964,16800
1962-05-11,1.473958,1.473958,1.453125,1.473958,0.131964,141600
1962-05-14,1.473958,1.531250,1.447917,1.447917,0.129633,146400
1962-05-15,1.500000,1.536458,1.500000,1.526042,0.136627,132000
1962-05-16,1.526042,1.526042,1.505208,1.515625,0.135695,103200
1962-05-17,1.515625,1.520833,1.500000,1.510417,0.135228,180000
1962-05-18,1.520833,1.552083,1.520833,1.536458,0.137560,187200
1962-05-21,1.536458,1.536458,1.510417,1.520833,0.136161,132000
1962-05-22,1.520833,1.531250,1.500000,1.500000,0.134296,117600
1962-05-23,1.500000,1.505208,1.453125,1.463542,0.131032,256800
1962-05-24,1.463542,1.494792,1.442708,1.447917,0.129633,336000
1962-05-25,1.447917,1.458333,1.427083,1.442708,0.129166,156000
1962-05-28,1.442708,1.442708,1.364583,1.364583,0.122172,148800
1962-05-29,1.364583,1.437500,1.291667,1.354167,0.121239,451200
1962-05-31,1.395833,1.442708,1.395833,1.432292,0.128234,196800
1962-06-01,1.432292,1.453125,1.416667,1.453125,0.130099,148800
1962-06-04,1.427083,1.427083,1.385417,1.390625,0.124503,158400
1962-06-05,1.390625,1.432292,1.380208,1.411458,0.126369,196800
1962-06-06,1.427083,1.463542,1.427083,1.437500,0.128700,141600
1962-06-07,1.437500,1.489583,1.432292,1.458333,0.130565,153600
1962-06-08,1.453125,1.453125,1.421875,1.453125,0.130099,112800
1962-06-11,1.447917,1.447917,1.390625,1.406250,0.125902,120000
1962-06-12,1.395833,1.395833,1.380208,1.395833,0.124970,220800
1962-06-13,1.395833,1.437500,1.375000,1.380208,0.123571,266400
1962-06-14,1.375000,1.375000,1.338542,1.338542,0.119840,544800
1962-06-15,1.338542,1.369792,1.338542,1.369792,0.122638,278400
1962-06-18,1.380208,1.401042,1.380208,1.380208,0.123571,199200
1962-06-19,1.380208,1.390625,1.364583,1.390625,0.124503,148800
1962-06-20,1.390625,1.390625,1.354167,1.364583,0.122172,139200
1962-06-21,1.364583,1.385417,1.333333,1.333333,0.119374,225600
1962-06-22,1.333333,1.354167,1.286458,1.286458,0.115177,379200
1962-06-25,1.281250,1.281250,1.229167,1.234375,0.110514,319200
1962-06-26,1.234375,1.276042,1.229167,1.255208,0.112380,211200
1962-06-27,1.250000,1.250000,1.229167,1.250000,0.111913,124800
1962-06-28,1.270833,1.343750,1.270833,1.317708,0.117975,146400
1962-06-29,1.317708,1.354167,1.312500,1.328125,0.118908,158400
1962-07-02,1.328125,1.364583,1.312500,1.333333,0.119374,122400
